position([12 , 0])
supply(100)
revealed([34 , 0])
revealed([34 , 1])
revealed([34 , 2])
revealed([34 , 3])
revealed([34 , 4])
revealed([34 , 5])
revealed([34 , 6])
revealed([34 , 7])
revealed([34 , 8])
revealed([34 , 9])
revealed([34 , 10])
revealed([34 , 11])
revealed([34 , 12])
revealed([34 , 13])
revealed([34 , 14])
revealed([34 , 15])
revealed([34 , 16])
revealed([34 , 17])
revealed([34 , 18])
revealed([34 , 19])
revealed([34 , 20])
revealed([34 , 21])
revealed([34 , 22])
revealed([34 , 23])
revealed([34 , 24])
revealed([34 , 25])
revealed([33 , 25])
revealed([0 , 25])
revealed([1 , 25])
revealed([2 , 25])
revealed([3 , 25])
revealed([4 , 25])
revealed([5 , 25])
revealed([6 , 25])
revealed([7 , 25])
revealed([8 , 25])
revealed([9 , 25])
revealed([10 , 25])
revealed([11 , 25])
revealed([12 , 25])
revealed([13 , 25])
revealed([14 , 25])
revealed([15 , 25])
revealed([16 , 25])
revealed([17 , 25])
revealed([18 , 25])
revealed([19 , 25])
revealed([20 , 25])
revealed([21 , 25])
revealed([22 , 25])
revealed([23 , 25])
revealed([24 , 25])
revealed([25 , 25])
revealed([26 , 25])
revealed([27 , 25])
revealed([28 , 25])
revealed([29 , 25])
revealed([30 , 25])
revealed([31 , 25])
revealed([32 , 25])
revealed([33 , 0])
revealed([33 , 1])
revealed([33 , 2])
revealed([33 , 3])
revealed([33 , 4])
revealed([33 , 5])
revealed([33 , 6])
revealed([33 , 7])
revealed([33 , 8])
revealed([33 , 9])
revealed([33 , 10])
revealed([33 , 11])
revealed([33 , 12])
revealed([33 , 13])
revealed([33 , 14])
revealed([33 , 15])
revealed([33 , 16])
revealed([33 , 17])
revealed([33 , 18])
revealed([33 , 19])
revealed([33 , 20])
revealed([33 , 21])
revealed([33 , 22])
revealed([33 , 23])
revealed([33 , 24])
revealed([32 , 0])
revealed([32 , 1])
revealed([32 , 2])
revealed([32 , 3])
revealed([32 , 4])
revealed([32 , 5])
revealed([32 , 6])
revealed([32 , 7])
revealed([32 , 8])
revealed([32 , 9])
revealed([32 , 10])
revealed([32 , 11])
revealed([32 , 12])
revealed([32 , 13])
revealed([32 , 14])
revealed([32 , 15])
revealed([32 , 16])
revealed([32 , 17])
revealed([32 , 18])
revealed([32 , 19])
revealed([32 , 20])
revealed([32 , 21])
revealed([32 , 22])
revealed([32 , 23])
revealed([32 , 24])
revealed([31 , 0])
revealed([31 , 1])
revealed([31 , 2])
revealed([31 , 3])
revealed([31 , 4])
revealed([31 , 5])
revealed([31 , 6])
revealed([31 , 7])
revealed([31 , 8])
revealed([31 , 9])
revealed([31 , 10])
revealed([31 , 11])
revealed([31 , 12])
revealed([31 , 13])
revealed([31 , 14])
revealed([31 , 15])
revealed([31 , 16])
revealed([31 , 17])
revealed([31 , 18])
revealed([31 , 19])
revealed([31 , 20])
revealed([31 , 21])
revealed([31 , 22])
revealed([31 , 23])
revealed([31 , 24])
revealed([30 , 0])
revealed([30 , 1])
revealed([30 , 2])
revealed([30 , 3])
revealed([30 , 4])
revealed([30 , 5])
revealed([30 , 6])
revealed([30 , 7])
revealed([30 , 8])
revealed([30 , 9])
revealed([30 , 10])
revealed([30 , 11])
revealed([30 , 12])
